-0.0014143-7.1957e-19i,-0.0003902+7.0018e-19i,-0.0014143,-0.0003902
0.0008358-1.7882e-18i,0.0002671+3.2327e-18i,0.0008358,0.0002671
0.00069477+2.5465e-18i,0.00017352-3.949e-18i,0.00069477,0.00017352
0.00019709+9.4255e-20i,5.8306e-05-2.0736e-19i,0.00019709,0.000058306
0.00028407+2.3268e-19i,8.7705e-05-1.6481e-19i,0.00028407,0.000087705
0.00028721-1.2819e-19i,5.6709e-05+2.4506e-19i,0.00028721,0.000056709
0.00020861-6.3986e-19i,5.8422e-05+5.2621e-19i,0.00020861,0.000058422
0.00028234+4.0422e-19i,8.233e-05-3.8672e-19i,0.00028234,0.00008233
-0.00016906+2.4345e-19i,-5.6322e-05-5.5476e-20i,-0.00016906,-0.000056322
-0.0002208-7.4327e-20i,4.0283e-07+7.5404e-20i,-0.0002208,4.0283E-07
-0.00040088-2.4991e-19i,-5.6986e-05+3.8779e-20i,-0.00040088,-0.000056986
-0.00033976-2.0036e-19i,-3.2835e-05-2.6391e-19i,-0.00033976,-0.000032835
